sym,dir,entry,exit,qty,gross,net,reason,entry_t,exit_t
BATAINDIA,LONG,1795.25,1790.0,415,-2178.75,-2440.7132580975,EMA50_DYN,2022-07-08 11:15:00+05:30,2022-07-08 12:05:00+05:30
GLENMARK,LONG,395.0,391.95,1888,-5758.4000000000215,-6019.596399721621,EMA50_DYN,2022-07-08 12:10:00+05:30,2022-07-08 13:10:00+05:30
APOLLOTYRE,LONG,204.35,203.15,3650,-4379.999999999958,-4641.632346749958,EOD,2022-07-08 13:15:00+05:30,2022-07-08 15:15:00+05:30
VOLTAS,LONG,978.95,988.5325,672,6439.439999999988,6205.734765857747,TSL,2022-07-13 11:05:00+05:30,2022-07-13 14:25:00+05:30
JINDALSTEL,LONG,355.5,356.6,1853,2038.300000000042,1805.541826386242,EOD,2022-07-13 14:30:00+05:30,2022-07-13 15:15:00+05:30
LTF,LONG,70.75,71.441,9877,6825.007000000025,6576.760840963443,TSL,2022-07-18 10:50:00+05:30,2022-07-18 14:05:00+05:30
BANKBARODA,LONG,99.45,100.45,7026,7026.0,6777.7181811876,EOD,2022-07-18 14:10:00+05:30,2022-07-18 15:15:00+05:30
MFSL,LONG,838.0,836.0,913,-1826.0,-2095.136261812,EMA50_DYN,2022-07-20 10:55:00+05:30,2022-07-20 13:10:00+05:30
COFORGE,LONG,697.5,710.0,1097,13712.5,13438.893834785,EOD,2022-07-20 13:15:00+05:30,2022-07-20 15:15:00+05:30
AUBANK,LONG,585.4,585.05,1404,-491.4000000000319,-780.9402112668319,EMA50_DYN,2022-07-28 10:05:00+05:30,2022-07-28 13:15:00+05:30
APOLLOTYRE,LONG,217.65,218.3,3778,2455.7000000000216,2165.1822850834214,EOD,2022-07-28 13:20:00+05:30,2022-07-28 15:15:00+05:30
IDEA,LONG,8.85,8.8,93696,-4684.7999999999,-4975.7156703743,EMA50_DYN,2022-07-29 10:15:00+05:30,2022-07-29 11:20:00+05:30
BATAINDIA,LONG,1937.5,1964.0305,427,11328.523500000032,11033.69303678272,TSL,2022-07-29 11:25:00+05:30,2022-07-29 13:55:00+05:30
BATAINDIA,LONG,1965.4,1966.0,421,252.5999999999617,-39.102857384438266,EOD,2022-07-29 14:00:00+05:30,2022-07-29 15:15:00+05:30
LTF,LONG,75.6,76.4,11366,9092.800000000128,8787.346115168128,EOD,2022-08-01 10:15:00+05:30,2022-08-01 15:15:00+05:30
CASTROLIND,LONG,114.65,114.55,7878,-787.8000000000671,-1105.9136336976671,EMA50_DYN,2022-08-11 09:55:00+05:30,2022-08-11 10:40:00+05:30
GMRAIRPORT,LONG,34.9,34.8,25880,-2588.000000000037,-2905.598122936037,EMA50_DYN,2022-08-11 10:45:00+05:30,2022-08-11 13:05:00+05:30
CUMMINSIND,LONG,1240.4,1237.5,728,-2111.200000000066,-2428.863823131266,EOD,2022-08-11 13:10:00+05:30,2022-08-11 15:15:00+05:30
IDFCFIRSTB,LONG,49.85,49.2518,17473,-10452.348599999974,-10756.35279680019,SL,2022-08-25 10:55:00+05:30,2022-08-25 14:30:00+05:30
GMRAIRPORT,LONG,34.9,34.65,24958,-6239.5,-6544.7118387314,EMA50_DYN,2022-08-25 14:35:00+05:30,2022-08-25 15:05:00+05:30
BANKBARODA,LONG,120.9,120.5,6489,-2595.6000000000367,-2871.3627500796365,EMA50_DYN,2022-08-26 11:15:00+05:30,2022-08-26 13:10:00+05:30
VOLTAS,LONG,1001.1,1008.5,783,5794.1999999999825,5516.268066403182,EOD,2022-08-26 13:30:00+05:30,2022-08-26 15:15:00+05:30
CUMMINSIND,SHORT,1185.0,1183.65,673,908.5499999999388,627.7278183722387,EOD,2022-08-29 13:35:00+05:30,2022-08-29 15:15:00+05:30
PAGEIND,LONG,51143.65,51066.1,15,-1163.2500000000437,-1433.3022735525437,EMA50_DYN,2022-08-30 10:55:00+05:30,2022-08-30 15:05:00+05:30
ZEEL,SHORT,249.9,244.90200000000002,3176,15873.64799999997,15598.456501527618,PARTIAL_PROFIT,2022-09-01 11:25:00+05:30,2022-09-01 12:30:00+05:30
CONCOR,LONG,588.65,581.5862,1480,-10454.42400000002,-10758.488559340196,SL,2022-09-08 11:00:00+05:30,2022-09-08 12:15:00+05:30
BANKBARODA,LONG,130.9,130.6,6659,-1997.7000000000758,-2304.3476092410756,EMA50_DYN,2022-09-08 12:20:00+05:30,2022-09-08 15:05:00+05:30
GODREJPROP,LONG,1433.45,1430.9,562,-1433.0999999999744,-1716.6247530221744,EMA50_DYN,2022-09-09 09:30:00+05:30,2022-09-09 11:25:00+05:30
BHARATFORG,LONG,783.0,787.65,1029,4784.849999999977,4499.507407959876,EOD,2022-09-09 11:35:00+05:30,2022-09-09 15:15:00+05:30
CONCOR,SHORT,612.8,615.8639999999999,1338,-4099.631999999952,-4389.790120801585,SL,2022-09-14 14:55:00+05:30,2022-09-14 15:00:00+05:30
GODREJPROP,LONG,1335.1,1323.2,597,-7104.299999999918,-7383.190087752519,EMA50_DYN,2022-09-20 10:40:00+05:30,2022-09-20 11:25:00+05:30
ASHOKLEY,LONG,79.7,79.3,10017,-4006.800000000057,-4287.034930878057,EMA50_DYN,2022-09-20 11:30:00+05:30,2022-09-20 13:15:00+05:30
CANBK,LONG,46.93,46.63,17012,-5103.599999999951,-5383.527433974671,EMA50_DYN,2022-09-20 13:20:00+05:30,2022-09-20 13:45:00+05:30
ESCORTS,LONG,2100.0,2121.0415,380,7995.7699999999295,7712.224706735909,TSL,2022-09-20 13:50:00+05:30,2022-09-20 14:00:00+05:30
ESCORTS,LONG,2119.9,2103.6,376,-6128.800000000068,-6407.979064136069,EOD,2022-09-20 14:05:00+05:30,2022-09-20 15:15:00+05:30
FEDERALBNK,LONG,113.45,114.7235,6343,8077.8104999999905,7821.869256177618,TSL,2022-09-27 10:50:00+05:30,2022-09-27 14:20:00+05:30
ESCORTS,LONG,2024.3,2031.05,355,2396.25,2142.2827837695,EOD,2022-09-27 14:25:00+05:30,2022-09-27 15:15:00+05:30
AUBANK,LONG,605.0,597.74,1271,-9227.459999999988,-9495.838588694029,SL,2022-09-29 10:50:00+05:30,2022-09-29 11:15:00+05:30
MGL,LONG,882.8,875.05,871,-6750.25,-7019.3248718411,EMA50_DYN,2022-09-29 11:20:00+05:30,2022-09-29 12:00:00+05:30
