symbol,month,type,pnl,stt,exit_reason
CIPLA,2025-12,SHORT,-66.63557006731708,125.0,STOP_LOSS
CIPLA,2025-12,SHORT,333.6892685531233,125.0,PROFIT_TARGET
CIPLA,2025-12,SHORT,-267.1296914651912,125.00000000000001,STOP_LOSS
CIPLA,2025-12,SHORT,-133.8419326775383,125.0,STOP_LOSS
CIPLA,2025-12,LONG,-268.9075630251948,499.73109243697485,STOP_LOSS
CIPLA,2025-12,SHORT,202.15633423177528,125.0,PROFIT_TARGET
CIPLA,2025-12,SHORT,202.23810165839842,125.00000000000001,PROFIT_TARGET
CIPLA,2025-12,SHORT,-1146.4796331265482,125.0,STOP_LOSS
CIPLA,2025-12,SHORT,134.76180850342416,124.99999999999999,PROFIT_TARGET
CIPLA,2025-12,SHORT,-134.79813978562498,125.0,STOP_LOSS
CIPLA,2025-12,SHORT,-33.726812816158194,125.0,STOP_LOSS
CIPLA,2025-12,SHORT,438.9815627743481,125.0,PROFIT_TARGET
CIPLA,2025-12,LONG,-67.65899864683541,499.9323410013532,STOP_LOSS
CIPLA,2026-01,SHORT,-333.1556503198294,125.0,STOP_LOSS
CIPLA,2026-01,SHORT,-166.19025460347007,125.0,STOP_LOSS
CIPLA,2026-01,LONG,-1869.90784025649,498.1300921597435,STOP_LOSS
CIPLA,2026-01,LONG,393.2396251673398,125.39323962516734,PARTIAL_PROFIT
CIPLA,2026-01,LONG,-702.8112449799082,374.2971887550201,STOP_LOSS
CIPLA,2026-01,LONG,-910.9926445779221,499.0890073554221,STOP_LOSS
CIPLA,2026-01,LONG,-991.8599083384946,499.0081400916615,STOP_LOSS
CIPLA,2026-01,LONG,-753.4246575342621,499.24657534246575,STOP_LOSS
CIPLA,2026-01,LONG,102.71861946175832,125.10271861946175,PARTIAL_PROFIT
CIPLA,2026-01,LONG,1515.0996370609012,376.5150996370609,EMA50_EXIT
CIPLA,2026-01,LONG,198.41269841269448,125.1984126984127,PARTIAL_PROFIT
CIPLA,2026-01,LONG,2329.1925465838513,377.3291925465839,EMA50_EXIT
CIPLA,2026-01,LONG,51.84570717545766,125.05184570717546,PARTIAL_PROFIT
CIPLA,2026-01,LONG,-518.4570717544588,374.4815429282456,STOP_LOSS
CIPLA,2026-01,SHORT,838.7502621094886,125.0,PROFIT_TARGET
CIPLA,2026-01,SHORT,-245.0465588461967,125.0,STOP_LOSS
CIPLA,2026-01,LONG,-216.6847237269444,499.7833152762731,STOP_LOSS
CIPLA,2026-01,LONG,207.61120739456553,125.20761120739458,PARTIAL_PROFIT
CIPLA,2026-01,LONG,-189.55805892548892,374.8104419410745,STOP_LOSS
CIPLA,2026-01,LONG,-1884.7408481333982,498.1152591518666,STOP_LOSS
CIPLA,2026-01,LONG,-399.62217539777265,499.6003778246023,STOP_LOSS
CIPLA,2026-01,LONG,218.3247216359882,125.218324721636,PARTIAL_PROFIT
CIPLA,2026-01,LONG,4502.9473837420865,379.50294738374214,EOD
CIPLA,2026-01,SHORT,-401.1377725913998,125.00000000000001,STOP_LOSS
CIPLA,2026-01,SHORT,-912.2755802072691,125.0,STOP_LOSS
CIPLA,2026-01,SHORT,291.5451895043566,125.0,PROFIT_TARGET
CIPLA,2026-01,SHORT,-182.3220536756126,125.00000000000001,STOP_LOSS
CIPLA,2026-01,LONG,782.4427480916074,125.78244274809161,PARTIAL_PROFIT
CIPLA,2026-01,LONG,-400.763358778652,374.5992366412214,STOP_LOSS
CIPLA,2026-02,LONG,77.20815318097152,125.07720815318098,PARTIAL_PROFIT
CIPLA,2026-02,LONG,1650.324274243373,376.6503242742433,EMA50_EXIT
CIPLA,2026-02,SHORT,-151.33171912836372,125.0,STOP_LOSS
CIPLA,2026-02,LONG,179.8152634766894,125.1798152634767,PARTIAL_PROFIT
CIPLA,2026-02,LONG,-227.1350696547418,374.7728649303453,STOP_LOSS
CIPLA,2026-02,SHORT,-451.501241628346,125.0,STOP_LOSS
CIPLA,2026-02,LONG,-373.69207772795215,499.626307922272,STOP_LOSS
CIPLA,2026-02,LONG,-486.16305160806075,499.51383694839194,STOP_LOSS
CIPLA,2026-02,LONG,-561.3352293989972,499.43866477060106,STOP_LOSS
CIPLA,2026-02,LONG,112.35955056180202,125.11235955056182,PARTIAL_PROFIT
CIPLA,2026-02,LONG,-224.71910112358273,374.7752808988764,STOP_LOSS
CIPLA,2026-02,SHORT,-1316.8786214162087,125.0,STOP_LOSS
CIPLA,2026-02,LONG,46.600059648076346,125.04660005964807,PARTIAL_PROFIT
CIPLA,2026-02,LONG,866.7611094541945,375.86676110945416,EMA50_EXIT
CIPLA,2026-02,SHORT,-522.7001194742621,125.0,STOP_LOSS
CIPLA,2026-03,LONG,-1168.224299065457,498.83177570093454,STOP_LOSS
CIPLA,2026-03,LONG,-326.639245100481,499.67336075489953,STOP_LOSS
CIPLA,2026-03,LONG,-483.3252779120531,499.516674722088,STOP_LOSS
CIPLA,2026-03,LONG,181.17400756904283,125.18117400756906,PARTIAL_PROFIT
CIPLA,2026-03,LONG,-271.7610113535986,374.72823898864635,STOP_LOSS
CIPLA,2026-03,LONG,-765.6967840735435,499.23430321592645,STOP_LOSS
CIPLA,2026-03,LONG,40.35512510089699,125.04035512510089,PARTIAL_PROFIT
