filter_type,threshold,exit_rule,trades,win_rate,gross_pnl,stt,net_return,sl_hits
ema9,0.008,high2,57,35.08771929824561,7248.15612335231,9952.828366636659,-2.704672243284349,4
ema9,0.008,high1,20,40.0,15100.325770111765,3492.4209214218145,11.607904848689952,10
ema9,0.009,none,20,40.0,15100.325770111765,3492.4209214218145,11.607904848689952,10
ema9,0.009,ema21,25,40.0,16268.793204193402,4366.897397984314,11.901895806209088,6
ema9,0.009,ema9,36,44.44444444444444,23276.661597900587,6288.773200914004,16.987888396986587,3
ema9,0.009,high2,57,35.08771929824561,7248.15612335231,9952.828366636659,-2.704672243284349,4
ema9,0.009,high1,20,40.0,15100.325770111765,3492.4209214218145,11.607904848689952,10
ema9,0.01,none,20,40.0,15100.325770111765,3492.4209214218145,11.607904848689952,10
ema9,0.01,ema21,25,40.0,16268.793204193402,4366.897397984314,11.901895806209088,6
ema9,0.01,ema9,36,44.44444444444444,23276.661597900587,6288.773200914004,16.987888396986587,3
ema9,0.01,high2,57,35.08771929824561,7248.15612335231,9952.828366636659,-2.704672243284349,4
ema9,0.01,high1,20,40.0,15100.325770111765,3492.4209214218145,11.607904848689952,10
ema9,0.011,none,20,40.0,15100.325770111765,3492.4209214218145,11.607904848689952,10
ema9,0.011,ema21,25,40.0,16268.793204193402,4366.897397984314,11.901895806209088,6
ema9,0.011,ema9,36,44.44444444444444,23276.661597900587,6288.773200914004,16.987888396986587,3
ema9,0.011,high2,57,35.08771929824561,7248.15612335231,9952.828366636659,-2.704672243284349,4
ema9,0.011,high1,20,40.0,15100.325770111765,3492.4209214218145,11.607904848689952,10
ema9,0.012,none,20,40.0,15100.325770111765,3492.4209214218145,11.607904848689952,10
ema9,0.012,ema21,25,40.0,16268.793204193402,4366.897397984314,11.901895806209088,6
ema9,0.012,ema9,36,44.44444444444444,23276.661597900587,6288.773200914004,16.987888396986587,3
ema9,0.012,high2,57,35.08771929824561,7248.15612335231,9952.828366636659,-2.704672243284349,4
ema9,0.012,high1,20,40.0,15100.325770111765,3492.4209214218145,11.607904848689952,10
ema9,0.013,none,20,40.0,15102.334359131482,3492.2803201904303,11.610054038941051,10
ema9,0.013,ema21,25,40.0,16270.801793213117,4366.756796752929,11.904044996460186,6
ema9,0.013,ema9,36,44.44444444444444,22414.30980957055,6288.701899682619,16.125607909887933,4
ema9,0.013,high2,57,36.84210526315789,8668.860194397232,9952.687765405273,-1.2838275710080416,4
ema9,0.013,high1,20,40.0,15102.334359131482,3492.2803201904303,11.610054038941051,10
ema9,0.014,none,20,40.0,15102.334359131482,3492.2803201904303,11.610054038941051,10
ema9,0.014,ema21,25,40.0,16270.801793213117,4366.756796752929,11.904044996460186,6
ema9,0.014,ema9,36,44.44444444444444,22414.30980957055,6288.701899682619,16.125607909887933,4
ema9,0.014,high2,57,36.84210526315789,8668.860194397232,9952.687765405273,-1.2838275710080416,4
ema9,0.014,high1,20,40.0,15102.334359131482,3492.2803201904303,11.610054038941051,10
ema9,0.015,none,20,40.0,15102.334359131482,3492.2803201904303,11.610054038941051,10
ema9,0.015,ema21,25,40.0,16270.801793213117,4366.756796752929,11.904044996460186,6
ema9,0.015,ema9,36,44.44444444444444,22414.30980957055,6288.701899682619,16.125607909887933,4
ema9,0.015,high2,57,36.84210526315789,8668.860194397232,9952.687765405273,-1.2838275710080416,4
ema9,0.015,high1,20,40.0,15102.334359131482,3492.2803201904303,11.610054038941051,10
ema9,0.02,none,21,38.095238095238095,12611.716304932344,3666.6235839843757,8.945092720947969,11
ema9,0.02,ema21,26,38.46153846153847,13780.183739013979,4541.100060546875,9.239083678467104,7
ema9,0.02,ema9,37,43.24324324324324,19923.691755371412,6463.045163476565,13.460646591894848,5
ema9,0.02,high2,58,36.206896551724135,6178.242140198094,10127.031029199217,-3.948788889001124,5
ema9,0.02,high1,21,38.095238095238095,12611.716304932344,3666.6235839843757,8.945092720947969,11
vwap,0.0,none,0,0.0,0.0,0.0,0.0,0
vwap,0.0,ema21,0,0.0,0.0,0.0,0.0,0
vwap,0.0,ema9,0,0.0,0.0,0.0,0.0,0
vwap,0.0,high2,0,0.0,0.0,0.0,0.0,0
vwap,0.0,high1,0,0.0,0.0,0.0,0.0,0
vwap,0.001,none,0,0.0,0.0,0.0,0.0,0
vwap,0.001,ema21,0,0.0,0.0,0.0,0.0,0
vwap,0.001,ema9,0,0.0,0.0,0.0,0.0,0
vwap,0.001,high2,0,0.0,0.0,0.0,0.0,0
vwap,0.001,high1,0,0.0,0.0,0.0,0.0,0
