sym,dir,entry,exit,qty,gross,net,reason,entry_t,exit_t,exit_date,year,month
IDEA,LONG,9.2,9.15,67680,-3383.9999999999277,-3602.487763727928,EMA50_DYN,2022-05-23 10:00:00+05:30,2022-05-23 12:00:00+05:30,2022-05-23,2022,2022-05
AUBANK,LONG,672.3,671.1,926,-1111.1999999999368,-1330.3008677783369,EMA50_DYN,2022-05-23 12:05:00+05:30,2022-05-23 14:40:00+05:30,2022-05-23,2022,2022-05
BATAINDIA,LONG,1743.85,1740.2,342,-1248.2999999999533,-1458.1439137925533,EMA50_DYN,2022-05-26 10:50:00+05:30,2022-05-26 11:35:00+05:30,2022-05-26,2022,2022-05
SAIL,LONG,71.1,72.38625,8410,10817.362500000081,10603.517263749156,TSL,2022-05-26 11:40:00+05:30,2022-05-26 12:25:00+05:30,2022-05-26,2022,2022-05
BANKBARODA,LONG,87.45,88.60475,6838,7896.180499999951,7683.1600682789585,TSL,2022-05-26 12:30:00+05:30,2022-05-26 13:50:00+05:30,2022-05-26,2022,2022-05
APOLLOTYRE,LONG,212.75,213.8,2810,2950.500000000032,2738.949992157032,EOD,2022-05-26 13:55:00+05:30,2022-05-26 15:15:00+05:30,2022-05-26,2022,2022-05
AUBANK,LONG,663.65,657.85,1048,-6078.399999999952,-6321.792402631952,EMA50_DYN,2022-05-27 10:30:00+05:30,2022-05-27 13:35:00+05:30,2022-05-27,2022,2022-05
BANKINDIA,LONG,46.95,47.0,14820,740.9999999999579,495.55215738595797,EOD,2022-05-27 13:40:00+05:30,2022-05-27 15:15:00+05:30,2022-05-27,2022,2022-05
TORNTPOWER,LONG,437.55,452.86424999999997,1142,17488.873499999954,17307.753774184344,PARTIAL_PROFIT,2022-05-30 10:20:00+05:30,2022-05-30 13:30:00+05:30,2022-05-30,2022,2022-05
TORNTPOWER,LONG,437.55,446.755,381,3507.104999999994,3447.345118403664,TSL,2022-05-30 10:20:00+05:30,2022-05-30 13:35:00+05:30,2022-05-30,2022,2022-05
BANKBARODA,LONG,93.8,94.0,7107,1421.40000000002,1186.0357554204202,EOD,2022-05-30 13:40:00+05:30,2022-05-30 15:15:00+05:30,2022-05-30,2022,2022-05
BATAINDIA,LONG,1858.9,1854.25,417,-1939.050000000038,-2211.702143982338,EMA50_DYN,2022-06-03 11:55:00+05:30,2022-06-03 12:35:00+05:30,2022-06-03,2022,2022-06
MFSL,LONG,810.95,808.3,957,-2536.050000000087,-2808.854765128587,EMA50_DYN,2022-06-03 14:15:00+05:30,2022-06-03 14:50:00+05:30,2022-06-03,2022,2022-06
TATAPOWER,SHORT,221.15,220.24575,3397,3071.7372500000643,2807.8381120255826,TSL,2022-06-13 12:50:00+05:30,2022-06-13 14:30:00+05:30,2022-06-13,2022,2022-06
SUNTV,LONG,418.0,415.45,1830,-4666.500000000021,-4934.7689592510205,EMA50_DYN,2022-06-16 10:50:00+05:30,2022-06-16 12:10:00+05:30,2022-06-16,2022,2022-06
ESCORTS,LONG,1501.05,1510.95,493,4880.700000000044,4618.482315984044,EOD,2022-06-21 10:35:00+05:30,2022-06-21 15:15:00+05:30,2022-06-21,2022,2022-06
MANAPPURAM,LONG,86.05,87.56,8875,13401.250000000045,13128.248824242546,TSL,2022-06-24 10:55:00+05:30,2022-06-24 13:25:00+05:30,2022-06-24,2022,2022-06
BANKINDIA,LONG,44.65,45.222750000000005,17105,9796.888750000107,9524.90355203175,TSL,2022-06-24 13:30:00+05:30,2022-06-24 15:00:00+05:30,2022-06-24,2022,2022-06
PFC,LONG,83.3,83.15,10528,-1579.1999999999102,-1887.8421927455104,EMA50_DYN,2022-06-27 11:00:00+05:30,2022-06-27 14:40:00+05:30,2022-06-27,2022,2022-06
GMRAIRPORT,LONG,35.15,34.85,24951,-7485.299999999929,-7792.267661819929,EMA50_DYN,2022-06-27 14:45:00+05:30,2022-06-27 15:10:00+05:30,2022-06-27,2022,2022-06
BEL,LONG,79.0,78.25,10489,-7866.75,-8156.5509848265,EMA50_DYN,2022-07-07 10:50:00+05:30,2022-07-07 14:15:00+05:30,2022-07-07,2022,2022-07
CUMMINSIND,LONG,1121.4,1129.55,738,6014.699999999899,5721.291557951299,EOD,2022-07-07 14:30:00+05:30,2022-07-07 15:15:00+05:30,2022-07-07,2022,2022-07
COFORGE,LONG,729.0,725.0,1119,-4476.0,-4762.231923876,EMA50_DYN,2022-07-08 10:20:00+05:30,2022-07-08 10:50:00+05:30,2022-07-08,2022,2022-07
BATAINDIA,LONG,1795.25,1790.0,454,-2383.5,-2670.081491991,EMA50_DYN,2022-07-08 11:15:00+05:30,2022-07-08 12:05:00+05:30,2022-07-08,2022,2022-07
GLENMARK,LONG,395.0,391.95,2066,-6301.300000000024,-6587.121907746224,EMA50_DYN,2022-07-08 12:10:00+05:30,2022-07-08 13:10:00+05:30,2022-07-08,2022,2022-07
APOLLOTYRE,LONG,204.35,203.15,3995,-4793.9999999999545,-5080.361979524954,EOD,2022-07-08 13:15:00+05:30,2022-07-08 15:15:00+05:30,2022-07-08,2022,2022-07
VOLTAS,LONG,978.95,988.5325,736,7052.719999999987,6796.757124510867,TSL,2022-07-13 11:05:00+05:30,2022-07-13 14:25:00+05:30,2022-07-13,2022,2022-07
JINDALSTEL,LONG,355.5,356.6,2028,2230.800000000046,1976.059807831246,EOD,2022-07-13 14:30:00+05:30,2022-07-13 15:15:00+05:30,2022-07-13,2022,2022-07
LTF,LONG,70.75,71.441,10810,7469.710000000027,7198.014041795567,TSL,2022-07-18 10:50:00+05:30,2022-07-18 14:05:00+05:30,2022-07-18,2022,2022-07
BANKBARODA,LONG,99.45,100.45,7690,7690.0,7418.254029794,EOD,2022-07-18 14:10:00+05:30,2022-07-18 15:15:00+05:30,2022-07-18,2022,2022-07
MFSL,LONG,838.0,836.0,999,-1998.0,-2292.487541676,EMA50_DYN,2022-07-20 10:55:00+05:30,2022-07-20 13:10:00+05:30,2022-07-20,2022,2022-07
COFORGE,LONG,697.5,710.0,1201,15012.5,14712.954872905,EOD,2022-07-20 13:15:00+05:30,2022-07-20 15:15:00+05:30,2022-07-20,2022,2022-07
AUBANK,LONG,585.4,585.05,1537,-537.950000000035,-854.9181657529349,EMA50_DYN,2022-07-28 10:05:00+05:30,2022-07-28 13:15:00+05:30,2022-07-28,2022,2022-07
APOLLOTYRE,LONG,217.65,218.3,4135,2687.7500000000236,2369.7799758655237,EOD,2022-07-28 13:20:00+05:30,2022-07-28 15:15:00+05:30,2022-07-28,2022,2022-07
IDEA,LONG,8.85,8.8,102551,-5127.549999999891,-5445.959461583791,EMA50_DYN,2022-07-29 10:15:00+05:30,2022-07-29 11:20:00+05:30,2022-07-29,2022,2022-07
BATAINDIA,LONG,1937.5,1964.0305,468,12416.274000000034,12093.13428855811,TSL,2022-07-29 11:25:00+05:30,2022-07-29 13:55:00+05:30,2022-07-29,2022,2022-07
BATAINDIA,LONG,1965.4,1966.0,461,276.5999999999581,-42.818093240441954,EOD,2022-07-29 14:00:00+05:30,2022-07-29 15:15:00+05:30,2022-07-29,2022,2022-07
LTF,LONG,75.6,76.4,12441,9952.800000000141,9618.45618676814,EOD,2022-08-01 10:15:00+05:30,2022-08-01 15:15:00+05:30,2022-08-01,2022,2022-08
CASTROLIND,LONG,114.65,114.55,8623,-862.3000000000735,-1210.4967331016735,EMA50_DYN,2022-08-11 09:55:00+05:30,2022-08-11 10:40:00+05:30,2022-08-11,2022,2022-08
GMRAIRPORT,LONG,34.9,34.8,28329,-2832.90000000004,-3180.55213387384,EMA50_DYN,2022-08-11 10:45:00+05:30,2022-08-11 13:05:00+05:30,2022-08-11,2022,2022-08
CUMMINSIND,LONG,1240.4,1237.5,797,-2311.3000000000725,-2659.0720701038726,EOD,2022-08-11 13:10:00+05:30,2022-08-11 15:15:00+05:30,2022-08-11,2022,2022-08
IDFCFIRSTB,LONG,49.85,49.2518,19126,-11441.173199999972,-11773.937136816829,SL,2022-08-25 10:55:00+05:30,2022-08-25 14:30:00+05:30,2022-08-25,2022,2022-08
GMRAIRPORT,LONG,34.9,34.65,27319,-6829.75,-7163.8345509376995,EMA50_DYN,2022-08-25 14:35:00+05:30,2022-08-25 15:05:00+05:30,2022-08-25,2022,2022-08
BANKBARODA,LONG,120.9,120.5,7103,-2841.2000000000403,-3143.0558813092402,EMA50_DYN,2022-08-26 11:15:00+05:30,2022-08-26 13:10:00+05:30,2022-08-26,2022,2022-08
VOLTAS,LONG,1001.1,1008.5,857,6341.79999999998,6037.60119145278,EOD,2022-08-26 13:30:00+05:30,2022-08-26 15:15:00+05:30,2022-08-26,2022,2022-08
CUMMINSIND,SHORT,1185.0,1183.65,736,993.5999999999331,686.489857833533,EOD,2022-08-29 13:35:00+05:30,2022-08-29 15:15:00+05:30,2022-08-29,2022,2022-08
PAGEIND,LONG,51143.65,51066.1,17,-1318.3500000000495,-1624.4092433595495,EMA50_DYN,2022-08-30 10:55:00+05:30,2022-08-30 15:05:00+05:30,2022-08-30,2022,2022-08
ZEEL,SHORT,249.9,244.90200000000002,3475,17368.049999999967,17066.950989549267,PARTIAL_PROFIT,2022-09-01 11:25:00+05:30,2022-09-01 12:30:00+05:30,2022-09-01,2022,2022-09
CONCOR,LONG,588.65,581.5862,1620,-11443.356000000023,-11776.183423061568,SL,2022-09-08 11:00:00+05:30,2022-09-08 12:15:00+05:30,2022-09-08,2022,2022-09
BANKBARODA,LONG,130.9,130.6,7287,-2186.1000000000827,-2521.667071413083,EMA50_DYN,2022-09-08 12:20:00+05:30,2022-09-08 15:05:00+05:30,2022-09-08,2022,2022-09
GODREJPROP,LONG,1433.45,1430.9,615,-1568.249999999972,-1878.512852506472,EMA50_DYN,2022-09-09 09:30:00+05:30,2022-09-09 11:25:00+05:30,2022-09-09,2022,2022-09
BHARATFORG,LONG,783.0,787.65,1126,5235.899999999974,4923.659223870574,EOD,2022-09-09 11:35:00+05:30,2022-09-09 15:15:00+05:30,2022-09-09,2022,2022-09
GODREJPROP,LONG,1335.1,1323.2,672,-7996.799999999908,-8310.726530937509,EMA50_DYN,2022-09-20 10:40:00+05:30,2022-09-20 11:25:00+05:30,2022-09-20,2022,2022-09
ASHOKLEY,LONG,79.7,79.3,11262,-4504.800000000064,-4819.864968708064,EMA50_DYN,2022-09-20 11:30:00+05:30,2022-09-20 13:15:00+05:30,2022-09-20,2022,2022-09
CANBK,LONG,46.93,46.63,19126,-5737.799999999946,-6052.512679414505,EMA50_DYN,2022-09-20 13:20:00+05:30,2022-09-20 13:45:00+05:30,2022-09-20,2022,2022-09
ESCORTS,LONG,2100.0,2121.0415,427,8984.720499999921,8666.105130990089,TSL,2022-09-20 13:50:00+05:30,2022-09-20 14:00:00+05:30,2022-09-20,2022,2022-09
ESCORTS,LONG,2119.9,2103.6,423,-6894.900000000077,-7208.976447153077,EOD,2022-09-20 14:05:00+05:30,2022-09-20 15:15:00+05:30,2022-09-20,2022,2022-09
FEDERALBNK,LONG,113.45,114.7235,7130,9080.05499999999,8792.35815805556,TSL,2022-09-27 10:50:00+05:30,2022-09-27 14:20:00+05:30,2022-09-27,2022,2022-09
ESCORTS,LONG,2024.3,2031.05,399,2693.25,2407.8051569691,EOD,2022-09-27 14:25:00+05:30,2022-09-27 15:15:00+05:30,2022-09-27,2022,2022-09
AUBANK,LONG,605.0,597.74,1429,-10374.539999999986,-10676.281151253947,SL,2022-09-29 10:50:00+05:30,2022-09-29 11:15:00+05:30,2022-09-29,2022,2022-09
MGL,LONG,882.8,875.05,979,-7587.25,-7889.6889202439,EMA50_DYN,2022-09-29 11:20:00+05:30,2022-09-29 12:00:00+05:30,2022-09-29,2022,2022-09
