sym,dir,entry,exit,qty,gross,net,reason,entry_t,exit_t
SAIL,LONG,71.1,72.87749999999998,1161,2063.6774999999875,2033.9929313546725,PARTIAL_PROFIT,2022-05-26 11:40:00+05:30,2022-05-26 12:35:00+05:30
SAIL,LONG,71.1,72.86240000000001,3486,6143.726400000048,6054.611056288281,TSL,2022-05-26 11:40:00+05:30,2022-05-26 12:50:00+05:30
BANKBARODA,LONG,88.05,90.25124999999998,938,2064.772499999988,2035.0721805396033,PARTIAL_PROFIT,2022-05-26 12:55:00+05:30,2022-05-26 14:20:00+05:30
BANKBARODA,LONG,88.05,89.9248,2815,5277.562000000022,5188.69240748001,TSL,2022-05-26 12:55:00+05:30,2022-05-26 14:30:00+05:30
BANKBARODA,LONG,89.95,91.15,3673,4407.60000000001,4289.89310045221,EOD,2022-05-26 14:35:00+05:30,2022-05-26 15:15:00+05:30
AUBANK,LONG,663.65,657.85,639,-3706.1999999999707,-3854.604337100971,EMA50_DYN,2022-05-27 10:30:00+05:30,2022-05-27 13:35:00+05:30
BANKINDIA,LONG,46.95,47.0,9040,451.9999999999743,302.2801283919743,EOD,2022-05-27 13:40:00+05:30,2022-05-27 15:15:00+05:30
TORNTPOWER,LONG,437.55,444.3,929,6270.75,6125.6890671651,RSI_EXIT,2022-05-30 10:20:00+05:30,2022-05-30 13:30:00+05:30
BANKBARODA,LONG,93.9,94.0,4331,433.09999999997535,289.64053895257535,EOD,2022-05-30 13:35:00+05:30,2022-05-30 15:15:00+05:30
BATAINDIA,LONG,1858.9,1854.25,236,-1097.4000000000215,-1251.7067289684214,EMA50_DYN,2022-06-03 11:55:00+05:30,2022-06-03 12:35:00+05:30
MFSL,LONG,810.95,808.3,541,-1433.6500000000492,-1587.868785720549,EMA50_DYN,2022-06-03 14:15:00+05:30,2022-06-03 14:50:00+05:30
CUMMINSIND,SHORT,998.35,1003.3417499999999,425,-2121.4937499999623,-2271.64591970505,SL,2022-06-10 11:25:00+05:30,2022-06-10 12:45:00+05:30
BHARATFORG,SHORT,654.5,657.7724999999999,631,-2064.947499999951,-2211.097516917086,SL,2022-06-13 12:05:00+05:30,2022-06-13 12:10:00+05:30
AUBANK,SHORT,588.85,585.3456000000001,701,2456.584399999943,2311.801044826217,TSL,2022-06-13 12:20:00+05:30,2022-06-13 14:30:00+05:30
SUNTV,LONG,418.0,415.45,989,-2521.950000000011,-2666.932514043311,EMA50_DYN,2022-06-16 10:50:00+05:30,2022-06-16 12:10:00+05:30
ESCORTS,LONG,1501.05,1510.95,266,2633.400000000024,2491.919464608024,EOD,2022-06-21 10:35:00+05:30,2022-06-21 15:15:00+05:30
MANAPPURAM,LONG,86.05,87.29599999999999,4797,5977.061999999976,5829.865420855765,TSL,2022-06-24 10:55:00+05:30,2022-06-24 15:00:00+05:30
PFC,LONG,83.3,83.15,5305,-795.7499999999548,-951.2730653984547,EMA50_DYN,2022-06-27 11:00:00+05:30,2022-06-27 14:40:00+05:30
GMRAIRPORT,LONG,35.15,34.85,12574,-3772.1999999999643,-3926.8956586799645,EMA50_DYN,2022-06-27 14:45:00+05:30,2022-06-27 15:10:00+05:30
IDFCFIRSTB,SHORT,31.3,31.4565,13341,-2087.8664999999687,-2235.6386464083976,SL,2022-06-29 14:00:00+05:30,2022-06-29 14:00:00+05:30
BEL,LONG,79.0,78.95,5144,-257.1999999999854,-400.35441662478536,RSI_EXIT,2022-07-07 10:50:00+05:30,2022-07-07 11:00:00+05:30
APOLLOTYRE,LONG,198.1,200.05,2051,3999.450000000035,3855.1029132231347,RSI_EXIT,2022-07-07 11:05:00+05:30,2022-07-07 12:10:00+05:30
APOLLOTYRE,LONG,200.05,200.8,2031,1523.25,1379.6122123449,RSI_EXIT,2022-07-07 12:15:00+05:30,2022-07-07 12:25:00+05:30
APOLLOTYRE,LONG,200.75,200.7,2024,-101.20000000002301,-244.378625664823,RSI_EXIT,2022-07-07 12:30:00+05:30,2022-07-07 12:40:00+05:30
APOLLOTYRE,LONG,200.75,201.1,2024,708.3999999999885,564.9896457655885,RSI_EXIT,2022-07-07 12:45:00+05:30,2022-07-07 13:05:00+05:30
APOLLOTYRE,LONG,200.7,198.69299999999998,2024,-4062.16800000001,-4204.177225495642,SL,2022-07-07 13:10:00+05:30,2022-07-07 14:00:00+05:30
MFSL,LONG,856.0,859.55,474,1682.6999999999784,1539.2130832217786,EOD,2022-07-07 14:05:00+05:30,2022-07-07 15:15:00+05:30
COFORGE,LONG,729.0,725.0,574,-2296.0,-2442.824954696,EMA50_DYN,2022-07-08 10:20:00+05:30,2022-07-08 10:50:00+05:30
BATAINDIA,LONG,1795.25,1790.0,233,-1223.25,-1370.3281665945,EMA50_DYN,2022-07-08 11:15:00+05:30,2022-07-08 12:05:00+05:30
GLENMARK,LONG,395.0,398.0,1060,3180.0,3031.51814892,RSI_EXIT,2022-07-08 12:10:00+05:30,2022-07-08 12:35:00+05:30
APOLLOTYRE,LONG,202.85,204.6,2064,3612.0,3463.4007024432,RSI_EXIT,2022-07-08 12:40:00+05:30,2022-07-08 13:10:00+05:30
APOLLOTYRE,LONG,204.35,205.0,2049,1331.8500000000117,1183.8925027581117,RSI_EXIT,2022-07-08 13:15:00+05:30,2022-07-08 13:40:00+05:30
APOLLOTYRE,LONG,204.65,202.6035,2046,-4187.139000000018,-4333.517083435404,SL,2022-07-08 13:45:00+05:30,2022-07-08 14:30:00+05:30
SRF,LONG,2172.3,2180.0,192,1478.399999999965,1330.9755993983651,EOD,2022-07-08 14:35:00+05:30,2022-07-08 15:15:00+05:30
VOLTAS,LONG,978.95,985.552,432,2852.0639999999894,2702.193458636725,TSL,2022-07-13 11:05:00+05:30,2022-07-13 14:35:00+05:30
SHRIRAMFIN,LONG,253.5,254.05,1669,917.9500000000189,768.5678134853189,EOD,2022-07-13 14:40:00+05:30,2022-07-13 15:15:00+05:30
LTF,LONG,70.75,71.2256,6226,2961.0856000000003,2804.9866550590546,TSL,2022-07-18 10:50:00+05:30,2022-07-18 14:05:00+05:30
BANKBARODA,LONG,99.45,100.45,4429,4429.0,4272.4898696954,RSI_EXIT,2022-07-18 14:10:00+05:30,2022-07-18 14:55:00+05:30
BANKBARODA,LONG,100.55,100.45,4381,-438.0999999999751,-593.2330763059751,EOD,2022-07-18 15:00:00+05:30,2022-07-18 15:15:00+05:30
MFSL,LONG,838.0,836.0,564,-1128.0,-1294.2572307359999,EMA50_DYN,2022-07-20 10:55:00+05:30,2022-07-20 13:10:00+05:30
COFORGE,LONG,697.5,710.0,678,8475.0,8305.89792159,RSI_EXIT,2022-07-20 13:15:00+05:30,2022-07-20 15:20:00+05:30
AUBANK,LONG,585.4,585.05,867,-303.4500000000197,-482.2472672139197,EMA50_DYN,2022-07-28 10:05:00+05:30,2022-07-28 13:15:00+05:30
APOLLOTYRE,LONG,217.65,218.05,2334,933.6000000000133,754.2888904212133,RSI_EXIT,2022-07-28 13:20:00+05:30,2022-07-28 13:35:00+05:30
APOLLOTYRE,LONG,217.9,218.3,2331,932.4000000000133,753.1139760228133,EOD,2022-07-28 13:40:00+05:30,2022-07-28 15:15:00+05:30
IDEA,LONG,8.85,8.7615,57981,-5131.3184999999885,-5310.704130027208,SL,2022-07-29 10:15:00+05:30,2022-07-29 10:25:00+05:30
IDEA,LONG,8.75,8.8,58644,2932.2000000000417,2750.5052711028416,EMA50_DYN,2022-07-29 10:30:00+05:30,2022-07-29 11:20:00+05:30
