sym,dir,entry,exit,qty,gross,net,reason,entry_t,exit_t,exit_date,year,month
LTF,LONG,70.75,71.441,1413,976.3830000000036,940.8689954724456,TSL,2022-07-18 10:50:00+05:30,2022-07-18 14:05:00+05:30,2022-07-18,2022,2022-07
BANKBARODA,LONG,99.45,100.45,1005,1005.0,969.485734713,EOD,2022-07-18 14:10:00+05:30,2022-07-18 15:15:00+05:30,2022-07-18,2022,2022-07
MFSL,LONG,838.0,836.0,119,-238.0,-273.079096556,EMA50_DYN,2022-07-20 10:55:00+05:30,2022-07-20 13:10:00+05:30,2022-07-20,2022,2022-07
COFORGE,LONG,697.5,710.0,143,1787.5,1751.833927415,EOD,2022-07-20 13:15:00+05:30,2022-07-20 15:15:00+05:30,2022-07-20,2022,2022-07
AUBANK,LONG,585.4,585.05,170,-59.500000000003865,-94.55828768900386,EMA50_DYN,2022-07-28 10:05:00+05:30,2022-07-28 13:15:00+05:30,2022-07-28,2022,2022-07
APOLLOTYRE,LONG,217.65,218.3,459,298.35000000000264,263.05417386270267,EOD,2022-07-28 13:20:00+05:30,2022-07-28 15:15:00+05:30,2022-07-28,2022,2022-07
IDEA,LONG,8.85,8.8,11299,-564.949999999988,-600.032139681088,EMA50_DYN,2022-07-29 10:15:00+05:30,2022-07-29 11:20:00+05:30,2022-07-29,2022,2022-07
BATAINDIA,LONG,1937.5,1964.0305,51,1353.0555000000038,1317.8415570864609,TSL,2022-07-29 11:25:00+05:30,2022-07-29 13:55:00+05:30,2022-07-29,2022,2022-07
BATAINDIA,LONG,1965.4,1966.0,50,29.999999999995453,-4.644044820004545,EOD,2022-07-29 14:00:00+05:30,2022-07-29 15:15:00+05:30,2022-07-29,2022,2022-07
LTF,LONG,75.6,76.4,1322,1057.600000000015,1022.072106656015,EOD,2022-08-01 10:15:00+05:30,2022-08-01 15:15:00+05:30,2022-08-01,2022,2022-08
